"SA1_MAINCODE_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
"11902136458","102","Barton","1","New South Wales",0.1238
"11903136801","102","Barton","1","New South Wales",0.0552
"11903136802","102","Barton","1","New South Wales",0.0711
"11903136803","102","Barton","1","New South Wales",0.07
"11903136804","102","Barton","1","New South Wales",0.0211
"11903136805","102","Barton","1","New South Wales",0.0263
"11903136806","102","Barton","1","New South Wales",0.0632
"11903136807","102","Barton","1","New South Wales",0.0206
"11903136808","102","Barton","1","New South Wales",0.0468
"11903136809","102","Barton","1","New South Wales",0.1294
"11903136810","102","Barton","1","New South Wales",0.143
"11903136811","102","Barton","1","New South Wales",0.0911
"11903136812","102","Barton","1","New South Wales",0.1212
"11903136813","102","Barton","1","New South Wales",0.0897
"11903136814","102","Barton","1","New South Wales",0.1038
"11903136815","102","Barton","1","New South Wales",0.1098
"11903136816","102","Barton","1","New South Wales",0.046
"11903136817","102","Barton","1","New South Wales",0.0155
"11903136818","102","Barton","1","New South Wales",0.0978
"11903136819","102","Barton","1","New South Wales",0.1051
"11903136820","102","Barton","1","New South Wales",0.121
"11903136821","102","Barton","1","New South Wales",0.0837
"11903136822","102","Barton","1","New South Wales",0.0896
"11903136823","102","Barton","1","New South Wales",0.0878
"11903136824","102","Barton","1","New South Wales",0.0902
"11903136825","102","Barton","1","New South Wales",0.0285
"11903136826","102","Barton","1","New South Wales",0.0875
"11903136827","102","Barton","1","New South Wales",0.0309
"11903136828","102","Barton","1","New South Wales",0.0433
"11903136829","102","Barton","1","New South Wales",0.1687
"11903136830","102","Barton","1","New South Wales",0.118
"11903136831","102","Barton","1","New South Wales",0.0734
"11903136832","102","Barton","1","New South Wales",0.0334
"11903136833","102","Barton","1","New South Wales",0.0872
"11903136834","102","Barton","1","New South Wales",0.0853
"11903136835","102","Barton","1","New South Wales",0.0894
"11903136836","102","Barton","1","New South Wales",0.1977
"11903136837","102","Barton","1","New South Wales",0.1257
"11903136838","102","Barton","1","New South Wales",0.0756
"11903136839","102","Barton","1","New South Wales",0.0926
"11903136840","102","Barton","1","New South Wales",0.1014
"11903136841","102","Barton","1","New South Wales",0.1005
"11903136842","102","Barton","1","New South Wales",0.0904
"11903136843","102","Barton","1","New South Wales",0.1116
"11903137001","102","Barton","1","New South Wales",0.16
"11903137009","102","Barton","1","New South Wales",0.1292
"11903137010","102","Barton","1","New South Wales",0.1428
"11903137025","102","Barton","1","New South Wales",0.1493
"11903137026","102","Barton","1","New South Wales",0.2646
"11903137027","102","Barton","1","New South Wales",0.1148
"11903137028","102","Barton","1","New South Wales",0.1413
"11903137029","102","Barton","1","New South Wales",0.1086
