district,link,name,party,phonenumber,twitter
"Dickson, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AKI,Hon Peter Dutton MP,Liberal Party of Australia,(07) 3205 9977,http://twitter.com/PeterDutton_MP
"Murray, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=56430,Hon Damian Drum MP,The Nationals,(03) 5821 5371,
"Blaxland, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWL,Hon Jason Clare MP,Australian Labor Party,(02) 9790 2466,http://twitter.com/JasonClareMP
"Moncrieff, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AN0,Hon Steven Ciobo MP,Liberal Party of Australia,(07) 5504 6000,https://twitter.com/stevenciobo
"Dawson, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230485,Mr George Christensen MP,The Nationals,(07) 4944 0662,http://twitter.com/GChristensenMP
"Wright, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230531,Mr Scott Buchholz MP,Liberal Party of Australia,(07) 5541 0150,http://twitter.com/ScottBuchholzMP
"Eden-Monaro, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HRI,"Hon Dr Mike Kelly AM, MP",Australian Labor Party,,https://twitter.com/MikeKellyofEM
"Calwell, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMT,Ms Maria Vamvakinou MP,Australian Labor Party,(03) 9367 5216,http://twitter.com/MariaVamvakinou
"Kingsford Smith, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=182468,Hon Matt Thistlethwaite MP,Australian Labor Party,(02) 9349 6007,https://twitter.com/MThistlethwaite
"Casey, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00APG,Hon Tony Smith MP,Liberal Party of Australia,(03) 9727 0799,http://twitter.com/TonySmithMP
"Flynn, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=139441,Mr Ken O'Dowd MP,The Nationals,,
"McPherson, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230886,Hon Karen Andrews MP,Liberal Party of Australia,(07) 5580 9111,http://twitter.com/karenandrewsmp
"Curtin, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83P,Hon Julie Bishop MP,Liberal Party of Australia,(08) 9388 0288,http://twitter.com/JulieBishopMP
